id	name	description	additionalTypeId	additionalTypeName	startDate	endDate	addressLocality	addressRegion	postalCode	streetAddress	latitude	longitude	citation	sameAs
20	Theatre de Luxe		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Dublin	Dublin		86 Lr Camden Street	53.3359979549041	-6.2656547582461	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c133
26	Mary Street Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Dublin	Dublin		12-13 Mary Street	53.3485725787987	-6.2674838687861	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c003
27	Dame Street Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Dublin	Dublin		17 Dame Street	53.3440410465907	-6.2650616312278	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c005
30	Clontarf Electric Theatre	Town Hall, Clontarf; Seaside Picture Palace	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1913		Dublin	Dublin		61 Clontarf Road	53.3627009788791	-6.21743035790481	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c037
31	Grand Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1913	1916	Dublin	Dublin		10-11 Lr Sackville/O'Connell Street	53.3483018358188	-6.25919011536645	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c043
32	Cosy Cinema	Corona Cinema	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1914		Dublin	Dublin		71b Parnell Street	53.3520429994613	-6.26229087634573	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c044
33	Phibsboro Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1914		Dublin	Dublin		Blaquiere Bridge, Phibsboro	53.3605860198631	-6.27159003049965	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c057
34	Bohemian Picture Theatre		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1914		Dublin	Dublin		154-55 Phibsboro Road	53.3614133316463	-6.27242911479938	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c058
35	Masterpiece Theatre		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1914		Dublin	Dublin		99 Talbot Street	53.3502155686037	-6.25711380875632	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c069
36	Pillar Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1914		Dublin	Dublin		62 Upr Sackville/O'Connell Street	53.3502906068182	-6.26084575776168	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c070
37	Carlton Cinema Theatre		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1915		Dublin	Dublin		52 Upr Sackville/O'Connell Street	53.3509663547867	-6.26148707538648	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c080
38	Sandford Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1914		Dublin	Dublin		5 Lr Sandford Road	53.323200839374	-6.2498584897534	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c122
39	Town Hall, Rathmines		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1912	1922	Dublin	Dublin		Lr Rathmines Road	53.3240763258234	-6.26518815212206	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c183
40	Princess Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1913		Dublin	Dublin		145 Lr Rathmines Road	53.3252876962593	-6.26541698717369	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c238
